date,placename,state,state_fips,countyname,countyfips,venue,attendance
05feb2016,Florence,South Carolina,45,Florence,41,Florence Civic Center,
07feb2016,Holderness,New Hampshire,33,Grafton,9,"ALLWell North, Plymouth State University",2500
08feb2016,Londonderry,New Hampshire,33,Rockingham,15,Londonderry Lions Club,200
08feb2016,Manchester,New Hampshire,33,Hillsborough,11,Verizon Wireless Arena,5000
08feb2016,Salem,New Hampshire,33,Rockingham,15,Derry-Salem Elks Lodge,200
10feb2016,Pendleton,South Carolina,45,Anderson,7,"T. Ed Garrison Arena, Clemson University",5000
11feb2016,Baton Rouge,Louisiana,22,East Baton Rouge Parish,33,Baton Rouge River Center,10000
12feb2016,Tampa,Florida,12,Hillsborough,57,"USF Sun Dome, University of South Florida",10000
15feb2016,Greenville,South Carolina,45,Greenville,45,TD Convention Center,
16feb2016,North Augusta,South Carolina,45,Aiken,3,Riverview Park Activities Center,2000
16feb2016,Beaufort,South Carolina,45,Beaufort,13,Beaufort High School Performing Arts Center,20000
17feb2016,Sumter,South Carolina,45,Sumter,85,Sumter County Civic Center,4000
17feb2016,Walterboro,South Carolina,45,Colleton,29,Randy and Sara White's farm,4000
18feb2016,Gaffney,South Carolina,45,Cherokee,21,Broad River Electric Cooperative,
18feb2016,Kiawah Island,South Carolina,45,Charleston,19,"Turtle Point Clubhouse, Kiawah Island Golf Resort",
19feb2016,Myrtle Beach,South Carolina,45,Horry,51,Myrtle Beach Sports Center,12000
19feb2016,Pawleys Island,South Carolina,45,Georgetown,43,Pawley's Plantation Golf & Country Club,1000
19feb2016,North Charleston,South Carolina,45,Charleston,19,North Charleston Convention Center,2000
21feb2016,Atlanta,Georgia,13,Fulton,121,Georgia World Congress Center,
